unix_ts,series,value
1788830925,agg,191240.35
1788830940,agg,191240.35
1788830955,agg,191240.35
1788830970,agg,191240.35
1788830985,agg,265411.0179230346
1788831000,agg,265411.0179230346
1788831015,agg,265411.0179230346
1788831030,agg,265411.0179230346
1788831045,agg,282051.56666666665
1788831060,agg,282051.56666666665
1788831075,agg,282051.56666666665
1788831090,agg,282051.56666666665
1788831105,agg,281277.6666666667
1788831120,agg,281277.6666666667
1788831135,agg,281277.6666666667
1788831150,agg,281277.6666666667
1788831165,agg,278661.48333333334
1788831180,agg,278661.48333333334
1788831195,agg,278661.48333333334
1788831210,agg,278661.48333333334
1788831225,agg,236060.81666666668
1788831240,agg,236060.81666666668
1788831255,agg,236060.81666666668
1788831270,agg,236060.81666666668
1788831285,agg,498841.3833333333
1788831300,agg,498841.3833333333
1788831315,agg,498841.3833333333
1788831330,agg,498841.3833333333
1788831345,agg,528013.55
1788831360,agg,528013.55
1788831375,agg,528013.55
1788831390,agg,528013.55
1788831405,agg,529641.6666666667
1788831420,agg,529641.6666666667
1788831435,agg,529641.6666666667
1788831450,agg,529641.6666666667
1788831465,agg,513078.90631100594
1788831480,agg,513078.90631100594
1788831495,agg,513078.90631100594
1788831510,agg,513078.90631100594
1788831525,agg,512858.80000000005
1788831540,agg,512858.80000000005
1788831555,agg,512858.80000000005
1788831570,agg,512858.80000000005
1788831585,agg,11511.658139031017
1788831600,agg,11511.658139031017
1788831615,agg,11511.658139031017
1788831630,agg,11511.658139031017
1788831645,agg,413274.1333333333
1788831660,agg,413274.1333333333
1788831675,agg,413274.1333333333
1788831690,agg,413274.1333333333
1788831705,agg,528283.5666666667
1788831720,agg,528283.5666666667
1788831735,agg,528283.5666666667
1788831750,agg,528283.5666666667
1788831765,agg,528278.6833333333
1788831780,agg,528278.6833333333
1788831795,agg,528278.6833333333
1788831810,agg,528278.6833333333
1788831825,agg,531718.6166666667
1788831840,agg,531718.6166666667
1788831855,agg,531718.6166666667
1788831870,agg,531718.6166666667
1788831885,agg,516365.2333333334
1788831900,agg,516365.2333333334
1788831915,agg,516365.2333333334
1788831930,agg,516365.2333333334
1788831945,agg,531103.9666666667
1788831960,agg,531103.9666666667
1788831975,agg,531103.9666666667
1788831990,agg,531103.9666666667
1788832005,agg,527676.2
1788832020,agg,527676.2
1788832035,agg,527676.2
1788832050,agg,527676.2
1788832065,agg,366559.7166666667
1788832080,agg,366559.7166666667
1788832095,agg,366559.7166666667
1788832110,agg,366559.7166666667
1788832125,agg,511171.13333333336
1788832140,agg,511171.13333333336
1788832155,agg,511171.13333333336
1788832170,agg,511171.13333333336
1788832185,agg,231588.8901851636
1788832200,agg,231588.8901851636
1788832215,agg,231588.8901851636
1788832230,agg,231588.8901851636
1788832245,agg,154208.8
1788832260,agg,154208.8
1788832275,agg,154208.8
1788832290,agg,154208.8
1788832305,agg,0
1788832320,agg,0
1788832335,agg,0
1788832350,agg,0
1788832365,agg,0
1788832380,agg,0
1788832395,agg,0
1788832410,agg,0
1788832425,agg,0
1788832440,agg,0
1788832455,agg,0
1788832470,agg,0
1788832485,agg,0
1788832500,agg,0
1788832515,agg,0
1788832530,agg,0
1788832545,agg,0
1788832560,agg,0
1788832575,agg,0
1788832590,agg,0
1788832605,agg,0
1788832620,agg,0
1788832635,agg,0
1788832650,agg,0
1788832665,agg,0
1788832680,agg,0
1788832695,agg,0
1788832710,agg,0
1788832725,agg,0
1788832740,agg,0
1788832755,agg,0
1788832770,agg,0
1788832785,agg,0
1788832800,agg,0
1788832815,agg,0
1788832830,agg,0
1788832845,agg,0
1788832860,agg,0
1788832875,agg,0
1788832890,agg,0
1788832905,agg,0
1788832920,agg,0
1788832935,agg,0
1788832950,agg,0
1788832965,agg,0
1788832980,agg,0
1788832995,agg,0
1788833010,agg,0
1788833025,agg,0
1788833040,agg,0
1788833055,agg,0
1788833070,agg,0
1788833085,agg,0
1788833100,agg,0
1788833115,agg,0
1788833130,agg,0
1788833145,agg,0
1788833160,agg,0
1788833175,agg,0
1788833190,agg,0
1788833205,agg,0
1788833220,agg,0
1788833235,agg,0
1788833250,agg,0
1788833265,agg,0
1788833280,agg,0
1788833295,agg,0
1788833310,agg,0
1788833325,agg,0
1788833340,agg,0
1788833355,agg,0
1788833370,agg,0
1788833385,agg,0
1788833400,agg,0
1788833415,agg,0
1788833430,agg,0
1788833445,agg,0
1788833460,agg,0
1788833475,agg,0
1788833490,agg,0
1788833505,agg,0
1788833520,agg,0
1788833535,agg,0
1788833550,agg,0
1788833565,agg,0
1788833580,agg,0
1788833595,agg,0
1788833610,agg,0
1788833625,agg,0
1788833640,agg,0
1788833655,agg,0
1788833670,agg,0
1788833685,agg,0
1788833700,agg,0
1788833715,agg,0
1788833730,agg,0
1788833745,agg,0
1788833760,agg,0
1788833775,agg,0
