unix_ts,series,value
1788830985,agg,0
1788831000,agg,0
1788831015,agg,0
1788831030,agg,0
1788831045,agg,0
1788831060,agg,0
1788831075,agg,0
1788831090,agg,0
1788831105,agg,1.7333333333333334
1788831120,agg,1.7333333333333334
1788831135,agg,1.7333333333333334
1788831150,agg,1.7333333333333334
1788831165,agg,1.7333333333333334
1788831180,agg,1.7333333333333334
1788831195,agg,1.7333333333333334
1788831210,agg,1.7333333333333334
1788831225,agg,1.7333333333333334
1788831240,agg,1.7333333333333334
1788831255,agg,1.7333333333333334
1788831270,agg,1.7333333333333334
1788831285,agg,0
1788831300,agg,0
1788831315,agg,0
1788831330,agg,0
1788831345,agg,3.466666666666667
1788831360,agg,3.466666666666667
1788831375,agg,3.466666666666667
1788831390,agg,3.466666666666667
1788831405,agg,1.7333333333333334
1788831420,agg,1.7333333333333334
1788831435,agg,1.7333333333333334
1788831450,agg,1.7333333333333334
1788831465,agg,1.733304444925918
1788831480,agg,1.733304444925918
1788831495,agg,1.733304444925918
1788831510,agg,1.733304444925918
1788831525,agg,3.466666666666667
1788831540,agg,3.466666666666667
1788831555,agg,3.466666666666667
1788831570,agg,3.466666666666667
1788831585,agg,15394736.942935396
1788831600,agg,15394736.942935396
1788831615,agg,15394736.942935396
1788831630,agg,15394736.942935396
1788831645,agg,96659808.93333334
1788831660,agg,96659808.93333334
1788831675,agg,96659808.93333334
1788831690,agg,96659808.93333334
1788831705,agg,1.7333333333333334
1788831720,agg,1.7333333333333334
1788831735,agg,1.7333333333333334
1788831750,agg,1.7333333333333334
1788831765,agg,1.7333333333333334
1788831780,agg,1.7333333333333334
1788831795,agg,1.7333333333333334
1788831810,agg,1.7333333333333334
1788831825,agg,3.466666666666667
1788831840,agg,3.466666666666667
1788831855,agg,3.466666666666667
1788831870,agg,3.466666666666667
1788831885,agg,1.7333333333333334
1788831900,agg,1.7333333333333334
1788831915,agg,1.7333333333333334
1788831930,agg,1.7333333333333334
1788831945,agg,3.466666666666667
1788831960,agg,3.466666666666667
1788831975,agg,3.466666666666667
1788831990,agg,3.466666666666667
1788832005,agg,1.7333333333333334
1788832020,agg,1.7333333333333334
1788832035,agg,1.7333333333333334
1788832050,agg,1.7333333333333334
1788832065,agg,96659808.93333334
1788832080,agg,96659808.93333334
1788832095,agg,96659808.93333334
1788832110,agg,96659808.93333334
1788832125,agg,1.7333333333333334
1788832140,agg,1.7333333333333334
1788832155,agg,1.7333333333333334
1788832170,agg,1.7333333333333334
1788832185,agg,178301267.10097945
1788832200,agg,178301267.10097945
1788832215,agg,178301267.10097945
1788832230,agg,178301267.10097945
1788832245,agg,111676124.4
1788832260,agg,111676124.4
1788832275,agg,111676124.4
1788832290,agg,111676124.4
1788832305,agg,0
1788832320,agg,0
1788832335,agg,0
1788832350,agg,0
1788832365,agg,0
1788832380,agg,0
1788832395,agg,0
1788832410,agg,0
1788832425,agg,0
1788832440,agg,0
1788832455,agg,0
1788832470,agg,0
1788832485,agg,0
1788832500,agg,0
1788832515,agg,0
1788832530,agg,0
1788832545,agg,0
1788832560,agg,0
1788832575,agg,0
1788832590,agg,0
1788832605,agg,0
1788832620,agg,0
1788832635,agg,0
1788832650,agg,0
1788832665,agg,0
1788832680,agg,0
1788832695,agg,0
1788832710,agg,0
1788832725,agg,0
1788832740,agg,0
1788832755,agg,0
1788832770,agg,0
1788832785,agg,0
1788832800,agg,0
1788832815,agg,0
1788832830,agg,0
1788832845,agg,0
1788832860,agg,0
1788832875,agg,0
1788832890,agg,0
1788832905,agg,0
1788832920,agg,0
1788832935,agg,0
1788832950,agg,0
1788832965,agg,0
1788832980,agg,0
1788832995,agg,0
1788833010,agg,0
1788833025,agg,0
1788833040,agg,0
1788833055,agg,0
1788833070,agg,0
1788833085,agg,0
1788833100,agg,0
1788833115,agg,0
1788833130,agg,0
1788833145,agg,0
1788833160,agg,0
1788833175,agg,0
1788833190,agg,0
1788833205,agg,0
1788833220,agg,0
1788833235,agg,0
1788833250,agg,0
1788833265,agg,0
1788833280,agg,0
1788833295,agg,0
1788833310,agg,0
1788833325,agg,0
1788833340,agg,0
1788833355,agg,0
1788833370,agg,0
1788833385,agg,0
1788833400,agg,0
1788833415,agg,0
1788833430,agg,0
1788833445,agg,0
1788833460,agg,0
1788833475,agg,0
1788833490,agg,0
1788833505,agg,0
1788833520,agg,0
1788833535,agg,0
1788833550,agg,0
1788833565,agg,0
1788833580,agg,0
1788833595,agg,0
1788833610,agg,0
1788833625,agg,0
1788833640,agg,0
1788833655,agg,0
1788833670,agg,0
1788833685,agg,0
1788833700,agg,0
1788833715,agg,0
1788833730,agg,0
1788833745,agg,0
1788833760,agg,0
1788833775,agg,70257364.23510584
1788833790,agg,109269914.79310381
1788833805,agg,100385725.24916531
1788833820,agg,100385725.24916531
1788833835,agg,20029298.506985
1788833850,agg,336.8762959652912
1788833865,agg,292.26143780549484
1788833880,agg,292.26143780549484
1788833895,agg,100.4740913249605
1788833910,agg,0
1788833925,agg,0
1788833940,agg,0
1788833955,agg,0
1788833970,agg,0
1788833985,agg,0
1788834000,agg,0
1788834015,agg,0
1788834030,agg,0
1788834045,agg,0
1788834060,agg,0
1788834075,agg,0
1788834090,agg,0
1788834105,agg,0
1788834120,agg,0
1788834135,agg,0
1788834150,agg,0
1788834165,agg,0
1788834180,agg,0
1788834195,agg,0
1788834210,agg,0
1788834225,agg,0
1788834240,agg,0
1788834255,agg,0
1788834270,agg,0
1788834285,agg,0
1788834300,agg,0
1788834315,agg,0
1788834330,agg,0
1788834345,agg,0
