> D5 -- freshness under continuous writes, both catalogs. Issue #4137.
> Same pins as d2-scan-warm.csv. Subject: cassandra_easy_stress.sensor_data (sensor_id text PK,
> timestamp timeuuid clustering, data text), written by BasicTimeSeries -p 100 --rate 2000 -r 0.0.
> Probe every 10s: SELECT count(*) ... WHERE sensor_id='001.26.44' against EACH catalog.
> gap = cassandra_rows - cqlite_rows, i.e. rows visible to Cassandra but not yet to CQLite.
>
> ### PROBE SENSITIVITY IS VERIFIED, NOT ASSUMED -- read this before trusting a zero gap ###
> Two earlier rounds of this demo were DISCARDED, both caught by an explicit growth check:
>   round 1: writes spread over 20,000 partitions -> probed partition gained ~2 rows in 6 min.
>   round 2: writes concentrated to 100 partitions but the probe SID came from `LIMIT 1`, which
>            returned a COLD leftover partition -> grew 16 -> 16 in 30s.
> Both would have reported "gap = 0 in every sample" while measuring nothing at all. A zero gap is
> only meaningful against a signal large enough for a gap to appear in.
> THIS round's probe was measured BEFORE the run: 001.26.44 grew 223 -> 251 in 28s == ~60 rows/min
> == ~1 row/s. During the run the partition grew +234 and +212 rows respectively, so a lag of even
> a few seconds had room to show as several rows.
>
> ### RESULT AND ITS HONEST INTERPRETATION ###
> Observed staleness was AT OR BELOW THE PROBE'S RESOLUTION in both settings: max gap 0 rows.
> This does NOT prove "CQLite is always fresh". What it shows is narrower and should be said as
> such: at a table-wide write rate of 2,000/s, MEMTABLE PRESSURE drives flushes frequently enough
> on its own that CQLite's visible row set stayed within one row of Cassandra's -- the flush cadence
> was never the binding constraint at this write rate. A LOW-write-rate table, where the memtable
> takes minutes to fill, is exactly the case this run does NOT cover and where 0.17's
> flush-cadence bound WOULD be visible. That case is untested here.
> The 0.17 bound still stands as stated in #4137 and README: CQLite freshness == flush cadence;
> memtable reads are the 0.18 headline (#1807). The `cassandra` catalog is always fresh by construction.
>
> ### A NEGATIVE MEDIAN GAP IS A PROBE ARTIFACT, NOT CQLITE BEING "FRESHER THAN FRESH" ###
> stock_flush60's median gap is -1 row. The two catalogs are probed SEQUENTIALLY, cassandra first,
> ~2s apart, while rows arrive at ~1/s -- so the cqlite probe is simply taken later and sees one
> more row. Reported rather than clipped to zero, because clipping would hide the fact that this
> probe cannot resolve sub-2s differences in EITHER direction.
>
> phase_summary:
> setting,n_pairs,median_gap_rows,max_gap_rows,pairs_with_gap_zero,partition_growth_rows,cassandra_probe_ms,cqlite_probe_ms
> stock_flush60,26,-1,0,11,234,28,320
> flush_period_10s,31,0,0,22,212,29,192
>
> SIDE OBSERVATION (not a D5 claim): the bounded point-read probe is 7-11x slower through cqlite
> than through the cassandra catalog (320ms / 192ms vs ~28ms). Consistent with the 12x seen on
> issue #4170's bounded count. Snapshot resolution per query is a plausible fixed cost. Worth its
> own measurement; NOT presented as a talk number.
>
> raw series follows.
timestamp_utc,setting,catalog,elapsed_ms,visible_rows,bytes,state,query_id
2026-09-08T03:16:02Z,stock_flush60,cassandra,30,274,0B,FINISHED,20260908_031602_00221_6dba3
2026-09-08T03:16:04Z,stock_flush60,cqlite,1460,275,3850B,FINISHED,20260908_031603_00222_6dba3
2026-09-08T03:16:15Z,stock_flush60,cassandra,29,281,0B,FINISHED,20260908_031615_00223_6dba3
2026-09-08T03:16:16Z,stock_flush60,cqlite,327,281,3934B,FINISHED,20260908_031616_00224_6dba3
2026-09-08T03:16:27Z,stock_flush60,cassandra,32,291,0B,FINISHED,20260908_031627_00225_6dba3
2026-09-08T03:16:28Z,stock_flush60,cqlite,312,291,4074B,FINISHED,20260908_031628_00226_6dba3
2026-09-08T03:16:39Z,stock_flush60,cassandra,37,297,0B,FINISHED,20260908_031639_00227_6dba3
2026-09-08T03:16:40Z,stock_flush60,cqlite,306,297,4158B,FINISHED,20260908_031640_00228_6dba3
2026-09-08T03:16:51Z,stock_flush60,cassandra,27,305,0B,FINISHED,20260908_031651_00229_6dba3
2026-09-08T03:16:52Z,stock_flush60,cqlite,315,306,4284B,FINISHED,20260908_031652_00230_6dba3
2026-09-08T03:17:13Z,stock_flush60,cassandra,24,320,0B,FINISHED,20260908_031713_00231_6dba3
2026-09-08T03:17:14Z,stock_flush60,cqlite,230,320,4480B,FINISHED,20260908_031714_00232_6dba3
2026-09-08T03:17:25Z,stock_flush60,cassandra,27,331,0B,FINISHED,20260908_031725_00233_6dba3
2026-09-08T03:17:26Z,stock_flush60,cqlite,310,331,4634B,FINISHED,20260908_031725_00234_6dba3
2026-09-08T03:17:37Z,stock_flush60,cassandra,31,334,0B,FINISHED,20260908_031737_00235_6dba3
2026-09-08T03:17:38Z,stock_flush60,cqlite,336,335,4690B,FINISHED,20260908_031738_00236_6dba3
2026-09-08T03:17:49Z,stock_flush60,cassandra,29,341,0B,FINISHED,20260908_031749_00237_6dba3
2026-09-08T03:17:50Z,stock_flush60,cqlite,312,342,4788B,FINISHED,20260908_031750_00238_6dba3
2026-09-08T03:18:02Z,stock_flush60,cassandra,30,348,0B,FINISHED,20260908_031802_00239_6dba3
2026-09-08T03:18:05Z,stock_flush60,cqlite,362,349,4886B,FINISHED,20260908_031804_00240_6dba3
2026-09-08T03:18:25Z,stock_flush60,cassandra,23,360,0B,FINISHED,20260908_031825_00241_6dba3
2026-09-08T03:18:27Z,stock_flush60,cqlite,452,362,5068B,FINISHED,20260908_031826_00242_6dba3
2026-09-08T03:18:38Z,stock_flush60,cassandra,25,371,0B,FINISHED,20260908_031838_00243_6dba3
2026-09-08T03:18:39Z,stock_flush60,cqlite,320,372,5208B,FINISHED,20260908_031839_00244_6dba3
2026-09-08T03:18:50Z,stock_flush60,cassandra,30,383,0B,FINISHED,20260908_031850_00245_6dba3
2026-09-08T03:18:51Z,stock_flush60,cqlite,320,383,5362B,FINISHED,20260908_031851_00246_6dba3
