# scripts/ci/dep-duplicates-baseline.txt — THE DUPLICATE-DEPENDENCY RATCHET BASELINE
# (issue #1700). GENERATED FILE — do not hand-edit; regenerate with ONE command:
#
#   bash scripts/ci/check-dep-duplicates.sh --regenerate
#
# WHAT IT IS. The duplicate-dependency census of `cargo tree -d --workspace`: one `instances` total,
# one `crates` total, and one `crate <name> <n>` line per duplicated crate. The gate's
# ADVISORY `dep-duplicates` component re-measures and compares against it.
#
# IT IS A RATCHET, NOT A TARGET. The property asserted is "no WORSE than this". An
# increase is reported LOUDLY and never fails the gate (#1700 AC2); a DECREASE is
# reported as an invitation to re-run the regeneration command above and commit a
# tighter baseline. Some duplication here is not ours to fix — the arrow/parquet graph
# pins `hashbrown` five ways — and pinning it away with `[patch]` is explicitly out of
# scope.
#
# THE INVOCATION IS PINNED. `--workspace` is load-bearing: the bare `cargo tree -d`
# reads the ROOT PACKAGE only and reports a small fraction of this. `--all-features`
# reports a different, larger graph. Changing the invocation invalidates every number
# below, so change it in scripts/ci/check-dep-duplicates.sh and regenerate here in one
# commit.
#
# GRAMMAR (closed; the reader REFUSES rather than guesses, and does not trim):
#   `instances <N>`      exactly once
#   `crates <N>`         exactly once
#   `crate <name> <n>`   once per duplicated crate, n >= 2
#   blank lines and lines whose FIRST character is `#` are skipped
#   the `crate` lines must COHERE with the totals (count == crates, sum == instances)
instances 71
crates 31
crate anstream 2
crate anstyle-parse 2
crate bitflags 2
crate console 2
crate float-cmp 2
crate foldhash 2
crate getrandom 3
crate hashbrown 5
crate heck 2
crate indexmap 2
crate itertools 3
crate libc 2
crate lru 2
crate mio 2
crate nix 2
crate nom 2
crate predicates 2
crate quick-xml 2
crate rand 3
crate rand_chacha 2
crate rand_core 3
crate serde_spanned 2
crate shlex 2
crate socket2 2
crate syn 4
crate toml 2
crate toml_datetime 2
crate tower 2
crate twox-hash 2
crate unicode-width 2
crate winnow 2
