> D3 -- "analytics you can't write in CQL". Both catalogs, warm, medians of 3. Issue #4137.
> Same pins as d2-scan-warm.csv. Subject: cassandra_easy_stress.sensor_data
>   (sensor_id text PK, timestamp timeuuid clustering, data text)
>   MEASURED: 23,703,992 rows scanned, 2,548,496 partitions (~9 rows/partition),
>   3 SSTables/node, 4,153,175,060 B/node, LZ4 ratio 0.94011.
> Contrast subject for q4: cassandra_easy_stress.keyvalue, 22,339,536 rows, 22,504,314 partitions
>   (~1 row/partition).
>
> ### THIS DEMO CONTRADICTS THE STORY ON 3 OF 4 QUERIES. REPORTED AS MEASURED. ###
> #4137: "A demo whose result contradicts the story is still reported. The talk changes, not the data."
>
> #4137's original SQL assumed a TIMESTAMP column and a NUMERIC value column; the real table has
> neither, and NEITHER catalog exposes the timeuuid's time component (cqlite maps timeuuid to
> varchar, the stock connector to uuid -- issue #4173), so date_trunc('hour', ts) is not expressible
> against either. Rewritten to preserve the property the slide is actually about -- SQL that CQL
> cannot express at all -- rather than to preserve the literal query text.
>
> query,catalog,median_ms,n,verdict
> q1_cross_partition_groupby,cassandra,8040,3,ok
> q1_cross_partition_groupby,cqlite,11470,3,ok
> q2_approx_percentile,cassandra,8220,3,ok
> q2_approx_percentile,cqlite,10970,3,ok
> q3_window_function,cassandra,9110,3,ok
> q3_window_function,cqlite,11420,3,ok
> q4_join_two_tables,cassandra,,0,FAILED 3/3 -- EXCEEDED_LOCAL_MEMORY_LIMIT
> q4_join_two_tables,cqlite,13400,3,ok
>
> ### q1-q3: CQLITE IS 1.3-1.4x SLOWER HERE, the opposite of D2 ###
> ratios (cassandra/cqlite, >1 means cqlite faster): q1 0.70x, q2 0.75x, q3 0.80x.
> On `keyvalue` (D2) cqlite was 1.66x FASTER on a full scan. On `sensor_data` it is 1.3-1.4x SLOWER.
> Same cluster, same Trino, same session, minutes apart. So CQLite's scan advantage is NOT uniform --
> it is TABLE-SHAPE DEPENDENT, and the honest claim from this run is "faster on the shape we
> measured it on", not "faster".
> The most visible difference between the two tables is partition width: keyvalue is ~1 row per
> partition (22.5M partitions / 22.3M rows) while sensor_data is ~9 (2.5M partitions / 23.7M rows).
> THAT IS A CORRELATION, NOT A CAUSE -- this run did not isolate partition width from the other
> differences (clustering column present, timeuuid decode, different value sizes, 0.94 vs 0.92
> compression). Establishing the cause needs a purpose-built pair of tables differing only in
> partition width, which is a separate measurement and is NOT claimed here.
>
> ### q4: CQLITE MAKES A QUERY POSSIBLE THAT OTHERWISE FAILS ###
> Join across two Cassandra tables. Through the `cassandra` catalog it failed all 3 attempts:
>   INSUFFICIENT_RESOURCES / EXCEEDED_LOCAL_MEMORY_LIMIT
>   "Query exceeded per-node memory limit of 1GB [Allocated: 1022.83MB,
>    Top Consumers: {HashBuilderOperator=962.69MB, PagePartitioner=36.80MB, ExchangeOperator=10.17MB}]"
> Through `cqlite` it completed in 13,400 ms (median of 3).
> STATE THIS PRECISELY. It is NOT "Cassandra can't do joins" -- the limit is Trino's own per-node
> memory budget, identical for both catalogs. What differed is how many BYTES each catalog delivered
> for the same join: cassandra 1,859,991,297 B vs cqlite 797,031,180 B, i.e. cqlite shipped ~2.3x
> less data, so the hash build stayed inside the same 1 GB budget. The defensible claim is:
> "on the same Trino with the same memory limit, the leaner delivery made the query feasible."
> A larger memory limit would likely let both succeed; that was not tested.
>
> raw runs follow.
query,catalog,run,elapsed_ms,processed_rows,processed_bytes,state,query_id
q1_cross_partition_groupby,cassandra,1,8040,23703992,4047816040B,FINISHED,20260908_035056_10366_6dba3
q1_cross_partition_groupby,cassandra,2,8130,23703992,4047816040B,FINISHED,20260908_035105_10367_6dba3
q1_cross_partition_groupby,cassandra,3,8020,23703992,4047816040B,FINISHED,20260908_035114_10368_6dba3
q1_cross_partition_groupby,cqlite,1,11270,23703992,4047816040B,FINISHED,20260908_035123_10369_6dba3
q1_cross_partition_groupby,cqlite,2,11500,23703992,4047816040B,FINISHED,20260908_035136_10370_6dba3
q1_cross_partition_groupby,cqlite,3,11470,23703992,4047816040B,FINISHED,20260908_035148_10371_6dba3
q2_approx_percentile,cassandra,1,8220,23703992,4047816040B,FINISHED,20260908_035200_10372_6dba3
q2_approx_percentile,cassandra,2,8400,23703992,4047816040B,FINISHED,20260908_035210_10373_6dba3
q2_approx_percentile,cassandra,3,8120,23703992,4047816040B,FINISHED,20260908_035219_10374_6dba3
q2_approx_percentile,cqlite,1,10730,23703992,4047816040B,FINISHED,20260908_035228_10375_6dba3
q2_approx_percentile,cqlite,2,10970,23703992,4047816040B,FINISHED,20260908_035240_10376_6dba3
q2_approx_percentile,cqlite,3,11060,23703992,4047816040B,FINISHED,20260908_035252_10377_6dba3
q3_window_function,cassandra,1,9110,23703992,4450783904B,FINISHED,20260908_035304_10378_6dba3
q3_window_function,cassandra,2,9100,23703992,4450783904B,FINISHED,20260908_035314_10379_6dba3
q3_window_function,cassandra,3,9180,23703992,4450783904B,FINISHED,20260908_035324_10380_6dba3
q3_window_function,cqlite,1,11420,23703992,5019679712B,FINISHED,20260908_035334_10381_6dba3
q3_window_function,cqlite,2,10910,23703992,5019679712B,FINISHED,20260908_035346_10382_6dba3
q3_window_function,cqlite,3,11450,23703992,5019679712B,FINISHED,20260908_035358_10383_6dba3
q4_join_two_tables,cassandra,1,3990,10826210,1848762065B,FAILED,20260908_035410_10384_6dba3
q4_join_two_tables,cassandra,2,4230,11354963,1939098501B,FAILED,20260908_035415_10385_6dba3
q4_join_two_tables,cassandra,3,4420,10345712,1766626929B,FAILED,20260908_035420_10386_6dba3
q4_join_two_tables,cqlite,1,13230,26427493,651548925B,FINISHED,20260908_035426_10387_6dba3
q4_join_two_tables,cqlite,2,13400,26439781,653643129B,FINISHED,20260908_035440_10388_6dba3
q4_join_two_tables,cqlite,3,13600,26431589,652220339B,FINISHED,20260908_035454_10389_6dba3
